title;description;author;duration;rating;price;image_name;category;subcategory
Game Design MEGAPACK Tworzenie gier komputerowych od podstaw;Unity 3D + Wprowadzenie do programowania C# + Javascript + CRYENGINE 3-4 Modelowanie Terenu + gra 2D;Mepi.pl Video Tutorials;15;3,5;52.99;1240104_c26e.jpg;Programowanie;Tworzenie gier
Interaktywne wizualizacje danych w języku Python - Plotly;Wizualizuj dane w języku Python przy pomocy bibliotek Seaborn oraz Plotly!;Paweł Krakowiak;8,5;4,8;52.99;2532088_3f64_2.jpg;Programowanie;Języki programowania
React po polsku;Wszystko o front-end Framework ReactJS;Krystian Czekalski;6,5;4,4;52.99;2603130_3900_2.jpg;Programowanie;Tworzenie stron internetowych
MySQL tworzenie i zarządzanie bazami danych;Szybki kurs z zarządzania i przetwarzania danych w relacyjnych bazach danych za pomocą MySQL;Krzysztof Raczynski;6;4,8;52.99;3207739_4f7a.jpg;Programowanie;Projektowanie i tworzenie baz danych
JavaScript - poznaj zaawansowane techniki;Rozwiń swoje umiejętności pracy z JavaScript i zacznij tworzyć zaawansowane projekty!;eduweb.pl - Kursy Wideo;10;4,4;52.99;1796882_2260_2.jpg;Programowanie;Tworzenie stron internetowych
Kurs - HTML5, CSS3, Javascript, Bootstrap - Solidne podstawy;Kurs tworzenia stron i aplikacji internetowych od podstaw;cgwisdom.pl - Kursy online;11;3,7;52.99;1871540_1bb7_2.jpg;Programowanie;Tworzenie stron internetowych
Kurs Tworzenia Stron WWW MEGAPACK;Projektowanie stron www w praktyce od podstaw wykorzystując Wordpress, Joomla, HTML5, PHP, MySQL i wiele innych!;Mepi.pl Video Tutorials;14;4,3;79.99;1229460_03db.jpg;Programowanie;Tworzenie stron internetowych
Entity Framework Core w praktyce!;Naucz się używać baz danych w aplikacjach C#;Mentorzy IT, Patryk Mikulski;6;4,0;69.99;3244034_00a7_5.jpg;Programowanie;Projektowanie i tworzenie baz danych
Kurs Java 8 od podstaw dla każdego;Chcesz poznać Javę od podstaw? Sprawdź nasz kurs!;cgwisdom.pl - Kursy online;10;4,3;52.99;1793654_3335.jpg;Programowanie;Języki programowania
Artificial Intelligence – Computer Vision w języku Python;Sztuczna inteligencja - Odkryj Computer Vision z bibliotekami OpenCV, Tensorflow, Keras oraz PyTesseract;Paweł Krakowiak;7;4,8;52.99;2672484_e4b1_9.jpg;Programowanie;Badanie danych
Rekrutacja na stanowisko programisty;Poradnik jak bez przeszkód przejść przez cały proces rekrutacyjny na stanowisko programisty;Dawid Nowak, Paweł Ćwik;1,5;4,8;52.99;2064701_57c8.jpg;Programowanie;Języki programowania
Unity 3D podstawy - 5 przykładowych gier;Arkanoid - Endless Runner - Kółko i krzyżyk - Split Screen Shooter - Navigation;BackDoor Knowledge University;8,5;4,1;59.99;1551378_1b3c_2.jpg;Programowanie;Tworzenie gier
Praktyczny kurs Vue.js od podstaw;Tworzenie aplikacji przeglądarkowych z wykorzystaniem niesamowitego frameworka Vue.js;Paweł Winnicki;2,5;4,2;52.99;1900080_3f41_2.jpg;Programowanie;Tworzenie stron internetowych
#1 - MsSQL Server - Solidne Podstawy;25 lekcji + 17 gotowych skryptów SQL z moimi komentarzami i wskazówkami, aby bez problemu zrozumieć wszystkie bloki kodu;Andrzej Śmigielski;1,5;3,4;59.99;2327746_450c_5.jpg;Programowanie;Projektowanie i tworzenie baz danych
Kurs Bootstrap 3 - Szybki start;Twórz responsywne strony internetowe o spójnym wyglądzie i działaniu.;Sly Hofman;2;4,4;52.99;1343562_a971_2.jpg;Programowanie;Tworzenie stron internetowych
Kurs Unreal Engine 4 - gry od podstaw;Poznaj podstawy tworzenia gier w silniku Unreal Engine 4;Edugrafia.pl - wideo kursy;4,5;3,8;52.99;2666034_4217_2.jpg;Programowanie;Tworzenie gier
⭐⭐ Kurs Excel VBA dla każdego ✅;Kurs w całości poświęcony programowaniu Visual Basic for Applications od A do Z! Czyli w skrócie VBA;Mateusz Grabowski;7,5;4,1;52.99;2596776_e702.jpg;Programowanie;Języki programowania
Praktyczny Kotlin - kurs podstawowy;Opanuj podstawy Kotlina w kilka godzin!;Artur Czopek;4;4,5;52.99;1921408_cc11_2.jpg;Programowanie;Języki programowania
Kurs C# VIDEO MEGAPAKIET;MEGAPAKIET: programowanie, algorytmy, praca na plikach;Daniel Tokarz;17,5;4,1;64.99;1687536_0ff3.jpg;Programowanie;Języki programowania
Kotlin - Tworzenie aplikacji społecznościowej od podstaw;Naucz się tworzyć działającą aplikację społecznościową w Kotlinie!;cgwisdom.pl - Kursy online;7;4,3;52.99;2029786_862f_2.jpg;Programowanie;Programowanie mobilne
Programowanie i grafika dla dzieci i początkująch ze Scratch;Naucz się Scratch 3.0. Twórz gry, aplikacje i dobrze się baw! Dla dzieci i początkujących, rodziców i nauczycieli!;Ambroży Gołombek;4,5;4,7;52.99;2787600_f5ea_6.jpg;Programowanie;Tworzenie gier
TypeScript dla początkujących;Zrozum i opanuj możliwości, jakie daje TypeScript;Paweł Ćwik;4,5;4,3;52.99;2491630_9e4b_4.jpg;Programowanie;Języki programowania
Od chaosu do SOLIDa;Refaktoryzacja programu z zastosowanie zasad SOLID;Paweł Klimczyk;3,5;4,9;84.99;2202080_cd4f_3.jpg;Programowanie;Inżynieria oprogramowania
Angular - poznaj zaawansowane techniki i koduj efektywniej!;Wykorzystaj w pełni potencjał Angulara - zapanuj nad tym potężnym narzędziem i pracuj wydajniej, niż kiedykolwiek!;eduweb.pl - Kursy Wideo;12;4,6;52.99;1906670_30ba.jpg;Programowanie;Tworzenie stron internetowych
Kurs tworzenia zapytań w języku SQL z użyciem SQL Server.;Zrozumieć SQL. Praktyczny kurs tworzenia zapytań w języku SQL z użyciem SQL Server-a.;K Projects;8,5;4,5;52.99;3088056_d73d_3.jpg;Programowanie;Projektowanie i tworzenie baz danych
Kurs ASP.NET MVC;Aplikacje Internetowe;eduweb.pl - Kursy Wideo;12;4,9;129.99;1941768_f070.jpg;Programowanie;Tworzenie stron internetowych
NodeJS - poznaj podstawy back-endu i zostań Full Stackem;Poznaj NodeJS, wykorzystujący JavaScript, i zrób pierwszy krok w kierunku profesjonalnej pracy z back-endem!;eduweb.pl - Kursy Wideo;11;4,3;52.99;1916726_2c5a.jpg;Programowanie;Tworzenie stron internetowych
Vue.js - Zaawansowane zagadnienia i najlepsze praktyki;Tworzenie aplikacji SPA wykorzystując zaawansowane zagadnienia VueJS oraz najlepsze praktyki;Mateusz Kruszyk;4;3,6;52.99;2023604_8bb3_2.jpg;Programowanie;Tworzenie stron internetowych
Big Data, Hadoop oraz MapReduce w języku Python;Opanuj budowanie MapReduce Jobs używając biblioteki MRJob oraz usługi Amazon Elastic MapReduce!;Paweł Krakowiak;8;4,6;52.99;2588860_c874_2.jpg;Programowanie;Języki programowania
Programowanie obiektowe w C++;Kurs, który przybliży Ci obiektówkę na tyle, byś mógł zacząć programować obiektowo w C++ i świetnie się w tym czuć;Mentorzy IT, Wojciech Goledzinowski;12,5;4,5;69.99;3381366_191c_2.jpg;Programowanie;Języki programowania
Testy jednostkowe z użyciem Mockito;Poznaj dobre wzorce i praktyki testowania w języku JAVA;Software Development Academy;1;3,4;52.99;1442854_0ad0_3.jpg;Programowanie;Języki programowania
Twórz nowoczesne aplikacje webowe w Pythonie - Dash, Plotly;Twórz interaktywne aplikacje webowe w prosty i szybki sposób posługując się językiem Python!;Paweł Krakowiak;11,5;4,6;52.99;2524294_ea0c_3.jpg;Programowanie;Tworzenie stron internetowych
Kurs PHP7 - system dla wypożyczalni + bramka płatności;Stwórz kompletny system rezerwacji dla wypożyczalni samochodów wraz z bramką płatności online.;Edugrafia.pl - wideo kursy;6;4,6;52.99;2548045_8be6_4.jpg;Programowanie;Tworzenie stron internetowych
Java RESTful API z wykorzystaniem Hibernate;Stwórz webserwis do zarządzania użytkownikami bloga lub strony WWW.;Videopoint Grupa Helion;2;3,7;52.99;2228892_7999_2.jpg;Programowanie;Języki programowania
Kurs Selenium - Serenity BDD Java;Biblioteka rozszerzająca możliwości Selenium WebDriver i przyśpieszająca tworzenie testów automatycznych;Tester Oprogramowania;5,5;4,7;69.99;2102176_fe75_2.jpg;Programowanie;Testowanie oprogramowania
Kurs Symfony 4 - system CRM;Wejdź na kolejny poziom w Symfony 4 i stwórz system rezerwacji dla przychodni lekarskiej.;Edugrafia.pl - wideo kursy;5;4,4;64.99;2656862_0421_2.jpg;Programowanie;Języki programowania
Unity. Tworzenie gry 2D;Pozim drugi;Videopoint Grupa Helion;4,5;4,7;59.99;1512406_7818.jpg;Programowanie;Tworzenie gier
Kurs Bootstrap + PHP + Mysql - strona od podstaw;Wykorzystaj zalety Bootstrapa tworząc front-end oraz zaprogramujesz back-end w PHP.;Edugrafia.pl - wideo kursy;4,5;4,2;52.99;2584188_df70_2.jpg;Programowanie;Tworzenie stron internetowych
Kurs Unity - podstawy tworzenia gier;Kompleksowy kurs, który uczy praktycznych umiejętności projektowania gier.;Edugrafia.pl - wideo kursy;7,5;4,2;52.99;2585432_29d1_2.jpg;Programowanie;Tworzenie gier
Praktyczna Administracja PostgreSQL;Zarządzanie bazą danych PostgreSQL w pigułce - zostań Administratorem Bazy Danych - administracja Postgres bez tajemnic!;Łukasz Bartnicki;8;4,8;52.99;3355786_45a8_5.jpg;Programowanie;Projektowanie i tworzenie baz danych
Unity dla dzieci - cz.2;Stwórz własną grę 2D;Videopoint Grupa Helion;3,5;4,3;52.99;1642796_ec72.jpg;Programowanie;Tworzenie gier
Python 3;Kompendium efektywnego Pythonisty;Videopoint Grupa Helion;6,5;4,8;52.99;2188388_1bf8.jpg;Programowanie;Języki programowania
Kurs programowania C++ od podstaw;Chcesz poznać język programowania C++ od zera? Sprawdź nasz kurs! :);cgwisdom.pl - Kursy online;7,5;3,9;59.99;1793502_7912_2.jpg;Programowanie;Języki programowania
C# Seria Programista - część 4;Wprowadzenie do kolekcji C#;Mariusz Jurczenko;7,5;4,6;59.99;2795714_644d_3.jpg;Programowanie;Języki programowania
Python. Wprowadzenie;Opanuj podstawy Pythona i ucz się jak w praktyce tworzy się programy komputerowe.;InterTech Academy, Maciej Kraszewski, Adrian Wójcik;5;4,0;52.99;2863030_f736_10.jpg;Programowanie;Języki programowania
Naucz się programowania tworząc grę w Python;Poznaj podstawy programowania i zaskocz znajomych;Mateusz Pałka;6;4,2;52.99;2626226_d2ec_3.jpg;Programowanie;Tworzenie gier
jQuery - poznaj najpopularniejszą bibliotekę JavaScript;Poznaj od podstaw bibliotekę, z której korzystają niemal wszystkie nowoczesne serwery WWW!;eduweb.pl - Kursy Wideo;8;4,0;52.99;1796902_2bc5_4.jpg;Programowanie;Tworzenie stron internetowych
Programowanie w języku C - od A do Z - 2020;Naucz się jednego z najpopularniejszych języków programowania i otwórz sobie drzwi do kariery w IT! - Język C;takeITeasy Academy;7;3,6;52.99;3006458_0de9_2.jpg;Programowanie;Języki programowania
ReactJS - twórz interfejsy wygodniej niż kiedykolwiek!;Naucz się na praktycznych przykładach pracy z ReactJS, i przekonaj się jak wygodne może być tworzenie interfejsów!;eduweb.pl - Kursy Wideo;17;3,7;52.99;1916706_00fb.jpg;Programowanie;Tworzenie stron internetowych
Twórz Gry VR od podstaw w UNITY|Wirtualna Rzeczywistość VIVE;Naucz się jak tworzyć ekscytujące gry i sceny VR (Wirtualnej Rzeczywistości) w Unity, wraz ze SteamVR oraz HTC VIVE;Maciej Szymeczko;2;4,4;59.99;1310866_ab8e_4.jpg;Programowanie;Tworzenie gier
Docker i Docker Compose - praktycznie dla programistów;Naucz się korzystać z narzędzia Docker i Docker Compose na projekcie;Przemysław Bykowski;3;4,2;52.99;2751370_9a24_2.jpg;Programowanie;Narzędzia programistyczne
TWORZENIE stron www WIX stwórz stronę bloga sklep w 1H ✅;Kurs tworzenia stron www, bloga i sklepu online w kreatorze stro WIX. Stwórz stronę bloga sklep w 1 godzinę. Zapraszam✅⭐;Szymon Owedyk;2;4,7;52.99;2434232_5b7f_3.jpg;Programowanie;Tworzenie stron internetowych
Machine Learning Bootcamp w języku Python cz.II - od A do Z;Uczenie Maszynowe - Wejdź w świat uczenia nienadzorowanego i wykorzystaj przewagę uczenia maszynowego na rynku!;Paweł Krakowiak;5;4,8;52.99;2710402_0ca8_4.jpg;Programowanie;Badanie danych
Tworzenie gier w Unity 2 - Projekty, Git, Android, PlayStore;Tworzenie gier i aplikacji w silniku Unity;Pikademia Edukacja XXIw.;22;4,8;52.99;3130910_2c60.jpg;Programowanie;Tworzenie gier
Totalny VBA - Programowanie VBA od podstaw;Kiedy czujesz, że Excel to za mało;Dariusz Skórniewski;8;4,9;52.99;3506452_2e56.jpg;Programowanie;Języki programowania
Laravel Framework - wielkie kompendium programisty PHP;Ten kurs to bogata teoria i praktyczna, rozbudowana aplikacja napisana w Laravel'u;Mentorzy IT, Tomasz Tomczyk;24,5;4,4;69.99;3450900_01ba_2.jpg;Programowanie;Języki programowania
React - pierwsze kroki;Stwórz praktyczną aplikację webową wykorzystując możliwości biblioteki React!;Videopoint Grupa Helion;4;4,4;52.99;2259202_fa79.jpg;Programowanie;Programowanie mobilne
Kurs ASP.NET MVC w Praktyce;Pełny proces programowania aplikacji w ASP NET MVC;eduweb.pl - Kursy;13;4,6;189.99;1929512_0ea9.jpg;Programowanie;Tworzenie stron internetowych
Programowanie Dart dla każdego. Kurs od podstaw 2020;Nauka programowania w krótkich, treściwych lekcjach wraz z zadaniami praktycznymi. Kurs przygotuje Cię do nauki Flutter;Dawid Wnukowski;2;4,3;52.99;3147930_638a_2.jpg;Programowanie;Języki programowania
Kurs C# - obiektowe programowanie aplikacji;Opanuj obiektowe programowanie aplikacji;Edugrafia.pl - wideo kursy;4;3,8;52.99;1911808_cb83_2.jpg;Programowanie;Języki programowania
Google Chrome Developer Tools;Analiza aplikacji Internetowych z wykorzystaniem narzędzi programistycznych przeglądarki Google Chrome;Mateusz Kruszyk;1;4,3;52.99;2080388_e383.jpg;Programowanie;Tworzenie stron internetowych
WordPress - twórz własne Pluginy i rozbuduj swoje strony WWW;Rozszerz możliwości Twoich stron WWW z użyciem samodzielnie stworzonych wtyczek!;eduweb.pl - Kursy Wideo;10;4,5;52.99;1943832_c635.jpg;Programowanie;Tworzenie stron internetowych
EcmaScript 6 - poznaj najnowszą edycję języka JavaScript;Pisanie kodu ES6 to już branżowy standard - wykorzystaj w pełni potencjał tego języka i poznaj nowości;eduweb.pl - Kursy Wideo;10,5;4,6;52.99;1910094_1961.jpg;Programowanie;Języki programowania
Kurs Java Programowanie;programowanie i tworzenie aplikacji internetowych;Daniel Tokarz;5,5;4,0;52.99;1750268_7109.jpg;Programowanie;Języki programowania
Java. Programowanie funkcyjne i współbieżne;Poznaj główne elementy języka od wersji 8 do 11!;Videopoint Grupa Helion;5,5;3,8;52.99;2542899_0031_3.jpg;Programowanie;Języki programowania
Tworzenie REST API krok po kroku - Python | Flask | MySQL;Zbudujemy kompletną backendową aplikację, napiszemy testy automatyczne oraz wdrożymy na chmurę AWS.;Szymon Wolny;10;4,5;52.99;3395110_9f58.jpg;Programowanie;Tworzenie stron internetowych
Kurs HTML5 dla zielonych;Opanuj fundamenty języka HTML%;Edugrafia.pl - wideo kursy;9;4,2;52.99;2146628_96f2_2.jpg;Programowanie;Tworzenie stron internetowych
Kurs Preprocesory LESS & SASS;Twórz kod css szybciej i wydajniej dzięki LESS i SASS;Edugrafia.pl - wideo kursy;7;4,3;52.99;1732242_4020_4.jpg;Programowanie;Tworzenie stron internetowych
Kurs Woocommerce - zbuduj własny sklep internetowy w 2h!;Nauczę Cię, Jak Zbudować Własny Sklep Internetowy Na Wordpressie, Nie Korzystając Z Usług Programisty;Patryk Filipiak;2;4,2;52.99;2890654_9f26_3.jpg;Programowanie;Tworzenie stron internetowych
CSS i SASS;Zrealizuj swoje pomysły na stronę WWW i stwórz praktyczny projekt nowoczesnego dashboardu.;Videopoint Grupa Helion;13;3,7;52.99;1962036_00c7.jpg;Programowanie;Tworzenie stron internetowych
GIT - Praktyczne wprowadzenie;System kontroli wersji GIT bez tajemnic;Mateusz Kruszyk;2;4,7;52.99;2224418_8942_2.jpg;Programowanie;Inżynieria oprogramowania
Kurs Delphi MEGAPAKIET;sam twórz własne aplikacje!;Daniel Tokarz;7,5;4,0;52.99;1897960_3de3.jpg;Programowanie;Języki programowania
Profesjonalny system sterowania postacią w Unity;Cała gra zmienia się gdy sterowanie postacią jest naprawdę dobre.;Szymon Świderski;3;4,6;52.99;1869094_15c3_4.jpg;Programowanie;Tworzenie gier
Java - programowanie obiektowe;Stwórz kompletną aplikację, zorganizowaną na sposób obiektowy! Wybierz Javę i projektuj wygodnie oraz stabilnie!;Videopoint Grupa Helion;7;4,0;52.99;2289723_0487.jpg;Programowanie;Języki programowania
Czysty JavaScript zamiast jQuery;Czysty JavaScript zamiast dodatkowych 30 kB od jQuery, DOM API, nowe przeglądarki, Babel, polyfille, fetch, Promise;Mateusz Chrzonstowski;4;4,8;52.99;1939404_822f_6.jpg;Programowanie;Tworzenie stron internetowych
Swift - tworzenie gier 2D i 3D;SpriteKit, SceneKit i ARKit - wykorzystaj najpopularniejsze frameworki do tworzenia gier na iOS;Educativo PL;3;4,5;52.99;1344218_7325_2.jpg;Programowanie;Programowanie mobilne
Kurs Laravel programowanie sklepu;Zaprogramuj własny, kompletny system zarządzania sklepem w popularnym frameworku Laravel.;Edugrafia.pl - wideo kursy;5;3,1;52.99;2585540_73ac_2.jpg;Programowanie;Tworzenie stron internetowych
250+ Ćwiczeń - Data Science Bootcamp w języku Python;Podnieś poziom swoich umiejętności programowania w języku Python i rozwiąż ponad 250 zadań z data science!;Paweł Krakowiak;7;4,9;52.99;2987456_834a_8.jpg;Programowanie;Języki programowania
Język C. Poziom ekspert.;Poznaj najbardziej zaawansowane elementy oraz mechanizmy działania języka C.;InterTech Academy, Maciej Kraszewski, Adrian Wójcik;6;4,9;52.99;3100204_0b19_2.jpg;Programowanie;Języki programowania
130+ Ćwiczeń w języku Python - Data Science - Pandas;Podnieś poziom swoich umiejętności programowania w języku Python oraz data science i rozwiąż ponad 130 ćwiczeń w Pandas!;Paweł Krakowiak;1;5,0;52.99;3511674_0959.jpg;Programowanie;Badanie danych
Ruby on Rails dla początkujących;Sam zbudujesz serwis internetowy pozwalający na wystawienie ogłoszeń z mieszkaniami do wynajęcia.;Andrey Sevostyanov;2;4,2;52.99;461978_7204_4.jpg;Programowanie;Tworzenie stron internetowych
Kurs Test Driven Development;Testy Jednostkowe w PHP;eduweb.pl - Kursy Wideo;9;4,9;189.99;1906564_b0bf.jpg;Programowanie;Tworzenie stron internetowych
Java - podstawy programowania;Naucz się programować w Javie poprzez samodzielne stworzenie gry konsolowej!;Videopoint Grupa Helion;6,5;4,1;52.99;2356386_fbbb_3.jpg;Programowanie;Języki programowania
Kurs Laravel od zera;Dowiedz się, jak przygotować środowisko, zainstalować, skonfigurować i korzystać z frameworka laravel.;Edugrafia.pl - wideo kursy;2,5;3,8;52.99;2587208_6f78_3.jpg;Programowanie;Języki programowania
Architektura aplikacji - back-end, Java;CQRS, DDD, porty i adaptery, czysta architektura, wzorce, modularny monolit - przygotowanie pod mikroserwisy, Spring;Mateusz Chrzonstowski;12;4,7;52.99;3406462_9e0b_4.jpg;Programowanie;Inżynieria oprogramowania
Kurs Programowanie w Java od Podstaw;Praktyczny projekt - tworzenie własnej gry;eduweb.pl - Kursy Wideo;6,5;3,3;99.99;1923226_104b.jpg;Programowanie;Języki programowania
Programowanie obiektowe w języku Python - OOP - od A do Z;Naucz się programowania obiektowego (OOP) w języku Python i otwórz sobie drzwi do kariery w IT! - Python;Paweł Krakowiak;10;5,0;52.99;3421082_d2fc.jpg;Programowanie;Języki programowania
TypeScript - wprowadzenie.;Zwiększ swoją produktywność tworząc aplikacje z wykorzystaniem TypeScript-u.;Mateusz Kruszyk;1;3,2;52.99;2555644_0b5d.jpg;Programowanie;Języki programowania
120+ Ćwiczeń w języku Python - Data Science - NumPy;Podnieś poziom swoich umiejętności programowania w języku Python oraz data science i rozwiąż ponad 120 ćwiczeń w NumPy!;Paweł Krakowiak;1;5,0;52.99;3511668_ceb8.jpg;Programowanie;Badanie danych
Unity. Sztuczki przyspieszające pracę w edytorze;Wejdź na wyższy poziom Unity;Videopoint Grupa Helion;1,5;4,8;52.99;1581670_7a2a.jpg;Programowanie;Tworzenie gier
Interaktywna mapa w przeglądarce internetowej z Leaflet;Utworzymy interaktywną mapę, opartą na darmowym bibliotece JavaScript - Leaflet. Wygląd mapy zależy tylko od Ciebie.;Andrzej Gierszewski;3,5;4,0;52.99;2645360_28fc_2.jpg;Programowanie;Tworzenie stron internetowych
#2 - MsSQL Server - Konkretne Rozwiązania;26 lekcji + 22 gotowe skrypty SQL z moimi komentarzami i wskazówkami, aby bez problemu zrozumieć wszystkie bloki kodu;Andrzej Śmigielski;2;3,2;52.99;2359842_a2f7.jpg;Programowanie;Projektowanie i tworzenie baz danych
Kurs React, Redux - frontend - aplikacja w 12 godzin;Dowiedz się jak stworzyć aplikację przy użyciu Reacta i Reduxa. Nadaj jej wygląd z material-ui oraz zintegruj ją z fir;Edugrafia.pl - wideo kursy;12;3,0;52.99;2984436_067f.jpg;Programowanie;Języki programowania
Programowanie funkcyjne w Javie;Poznaj wyrażenie lambda i Stream API;Programowalny pl;3,5;4,8;52.99;3319932_9197.jpg;Programowanie;Języki programowania
Web Developer Bootcamp - Tworzenie Stron od zera do Mastera;Jedyny kurs potrzebny do nauki web developmentu od podstaw! Html 5, CSS, JavaScript, DOM, SASS, Bootstrap 5, React, AJAX;Kuba Wąsikowski;58;4,8;52.99;3532134_bc20_4.jpg;Programowanie;Tworzenie stron internetowych
RxJava2 w Android;Programowanie aplikacji mobilnych z wykorzystaniem podejścia reaktywnego.;Tomasz Kądziołka;2,5;3,5;52.99;2508002_82a1.jpg;Programowanie;Programowanie mobilne
Kurs CSS3 - selektory;Twórz własne strony internetowe z arkuszem stylów CSS3. W kursie poznasz możliwości i magię jakie dają Ci selektory.;Edugrafia.pl - wideo kursy;3;4,5;52.99;2587666_d63b_2.jpg;Programowanie;Tworzenie stron internetowych
#3 - MsSQL Server - Zaawansowane Techniki;34 lekcje + 41 plików oraz skryptów SQL z komentarzami i wskazówkami, aby bez problemu zrozumieć wszystkie bloki kodu;Andrzej Śmigielski;3,5;3,4;52.99;2398256_544c.jpg;Programowanie;Projektowanie i tworzenie baz danych
Docker w praktyce. Poziom II;Zanurz się w zaawansowane sieci dockerowe i wskocz na poziom średnio zaawansowany!;Videopoint Grupa Helion;3,5;3,6;64.99;2307994_24c4_3.jpg;Programowanie;Narzędzia programistyczne
Kurs Bootstrap dla początkujących;Twórz responsywne strony internetowe o spójnym wyglądzie i działaniu w Bootstrapie.;Edugrafia.pl - wideo kursy;4;4,6;52.99;2585398_6e1a_3.jpg;Programowanie;Tworzenie stron internetowych
Kurs Android;tworzenie własnych aplikacji;Daniel Tokarz;5;3,6;52.99;1661596_f7a2_2.jpg;Programowanie;Programowanie mobilne
Kurs Programowanie Android Techniki Zaawansowane;Kompletny projekt aplikacji;eduweb.pl - Kursy Wideo;11;4,9;189.99;1916772_2d0d.jpg;Programowanie;Programowanie mobilne
Kurs CSS3 poziom II – niezbędne właściwości i techniki;Druga część najbardziej szczegółowego kursu o posługiwaniu się CSS3.;Edugrafia.pl - wideo kursy;7,5;4,5;52.99;2835710_e07a.jpg;Programowanie;Języki programowania
Kurs Angular od Podstaw;Nowoczesne Technologie Front-End;eduweb.pl - Kursy Wideo;10,5;3,8;174.99;1913846_fb8f.jpg;Programowanie;Tworzenie stron internetowych
Kurs Vue.js od Podstaw;Nowoczesne Technologie Front-End;eduweb.pl - Kursy Wideo;7;4,8;174.99;1859910_c98b.jpg;Programowanie;Tworzenie stron internetowych
150+ Ćwiczeń - Programowanie obiektowe w języku Python - OOP;Sprawdź się z programowania obiektowego (OOP) w języku Python i rozwiąż ponad 150 ćwiczeń z OOP! - Python;Paweł Krakowiak;1;5,0;52.99;3506812_99d2.jpg;Programowanie;Języki programowania
Kurs C++ Video;Cały pakiet: programowanie, algorytmy, praca na plikach;Daniel Tokarz;8;2,6;52.99;1683972_efd5.jpg;Programowanie;Języki programowania
Kurs WooCommerce;Sklep w WordPress;eduweb.pl - Kursy Wideo;6;4,4;114.99;1937234_aea8.jpg;Programowanie;Tworzenie stron internetowych
Aplikacja Lista Zadań we framework-u PHP Laravel;Stworzysz prostą aplikację do zarządzania zadaniami. Wykorzystasz 4 podstawowe operacje na bazie danych (CRUD);Robert Apollo;1;4,1;52.99;2282552_b517_2.jpg;Programowanie;Tworzenie stron internetowych
Kurs Canvas w Html i JavaScript;Zobacz jak za pomocą kodu JavaScript wprowadzić do Htmla możliwości jakie daje Canvas.;Edugrafia.pl - wideo kursy;2;3,5;52.99;2584136_c1ea_2.jpg;Programowanie;Języki programowania
Kurs Pascal Programowanie;tworzenie własnych aplikacji;Daniel Tokarz;4,5;5,0;52.99;1748624_9f87.jpg;Programowanie;Języki programowania
Wprowadzenie do NestJS;Stwórz REST API z użyciem TypeScript;Paweł Ćwik;1,5;5,0;52.99;2607562_b382.jpg;Programowanie;Języki programowania
Opanuj NPM;Jak korzystać z ponadpodstawowych funkcji NPM, jak dbać o bezpieczeństwo aplikacji i publikować własne biblioteki;Paweł Ćwik;1,5;5,0;52.99;2988116_f1e8.jpg;Programowanie;Narzędzia programistyczne
210+ Ćwiczeń - Python - Moduły wbudowane - od A do Z;Podnieś poziom swoich umiejętności programowania w języku Python i rozwiąż ponad 210 zadań z modułów wbudowanych!;Paweł Krakowiak;1,5;4,3;52.99;3349358_0bb5.jpg;Programowanie;Języki programowania
Kurs JavaScript dla programistów i początkujących.;Szybki przewodnik po JavaScript. 100% wiedzy bez pitu pitu. PRZEDSPRZEDAŻ;Zacznij Programować;4;4,7;52.99;3547684_44f4.jpg;Programowanie;Języki programowania
Kurs Symfony Framework Techniki Pracy;Fundament wiedzy o frameworku Symfony 2;eduweb.pl - Kursy Wideo;11;5,0;174.99;1941930_411e_3.jpg;Programowanie;Tworzenie stron internetowych
C# Seria Programista - część 5;C# Generics;Mariusz Jurczenko;9;5,0;52.99;3032270_97a0_3.jpg;Programowanie;Języki programowania
Kurs programowania dla dzieci w wieku 4-8 lat i rodziców;z wykorzystaniem aplikacji ScratchJR;Daniel Tokarz;1;5,0;52.99;2339928_0c57.jpg;Programowanie;Języki programowania
Kurs Vue.js Techniki Zaawansowane;Nowoczesne Technologie Front-End;eduweb.pl - Kursy Wideo;5;4,2;174.99;1860056_d6d1.jpg;Programowanie;Tworzenie stron internetowych
Kurs Tworzenie Aplikacji Android Techniki Pracy;Witaj w praktycznym kursie tworzenia aplikacji na system Android!;eduweb.pl - Kursy Wideo;7,5;5,0;129.99;1922852_f8de.jpg;Programowanie;Programowanie mobilne
Tworzenie gier w Unity 1 - Projekt Galactic Fight;Wstęp do tworzenia gier w Unity;Pikademia Edukacja XXIw.;10;5,0;52.99;3352944_ec1e_2.jpg;Programowanie;Tworzenie gier
Podstawy tworzenia aplikacji mobilnych we Flutterze;Poznaj podstawowe zagadnienia programowania we Flutterze!;Piotr Brus;5,5;4,5;52.99;3397428_73bc.jpg;Programowanie;Programowanie mobilne
Kotlin w praktyce;Stwórz aplikację webową za pomocą Spring Boota!;Videopoint Grupa Helion;3;3,5;52.99;2860104_e969_4.jpg;Programowanie;Programowanie mobilne
Kurs Joomla! Podstawy;System CMS;eduweb.pl - Kursy Wideo;6;5,0;84.99;1971700_206b.jpg;Programowanie;Tworzenie stron internetowych
Kurs Tworzenie Gier w Unity;od Podstaw;eduweb.pl - Kursy Wideo;8;4,5;114.99;1912674_2a19.jpg;Programowanie;Tworzenie gier
